table_name,table_name_x,column_name,total_rows,filled_count,fillrate,table_name_y,classification,japanese_name,description,data_type,max_length,code_values,remarks
jrd_bac,jrd_bac,baken_hatsubai_flag,110,110,100.0,JRD_BAC,JRDB,馬券発売フラグ,各券種の発売有無を示すフラグ列,character varying,16,各桁が券種に対応,
jrd_bac,jrd_bac,course_kubun,110,110,100.0,JRD_BAC,JRDB,コース区分,使用コースの区分,character varying,1,A/B/C/D/E,
jrd_bac,jrd_bac,data_kubun,110,110,100.0,JRD_BAC,JRDB,データ区分,速報・確定などのデータ種別,character varying,1,1:速報 2:確定 3:特別登録,
jrd_bac,jrd_bac,fukashokin,110,110,100.0,JRD_BAC,JRDB,付加賞金,レースの付加賞金額,character varying,10,単位:万円,
jrd_bac,jrd_bac,grade_code,110,110,100.0,JRD_BAC,JRDB,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
jrd_bac,jrd_bac,hasso_jikoku,110,110,100.0,JRD_BAC,JRDB,発走時刻,レースの発走時刻,character varying,4,HHmm形式 例:1540=15:40,
jrd_bac,jrd_bac,honshokin,110,110,100.0,JRD_BAC,JRDB,本賞金,レースの本賞金額,character varying,25,単位:万円,
jrd_bac,jrd_bac,juryo_shubetsu_code,110,110,100.0,JRD_BAC,JRDB,重量種別コード,負担重量の決め方,character varying,1,1:馬齢重量 2:定量 3:別定 4:ハンデキャップ,
jrd_bac,jrd_bac,jusho_kaiji,110,110,100.0,JRD_BAC,JRDB,重賞回次,重賞競走の回数,character varying,8,例:第160回,
jrd_bac,jrd_bac,kaisai_kai,110,110,100.0,JRD_BAC,JRDB,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
jrd_bac,jrd_bac,kaisai_kubun,110,110,100.0,JRD_BAC,JRDB,開催区分,開催主催者の区分,character varying,1,1:JRA 2:地方 3:海外,
jrd_bac,jrd_bac,kaisai_nichime,110,110,100.0,JRD_BAC,JRDB,開催日目,開催何日目か,character varying,1,第N日,
jrd_bac,jrd_bac,kaisai_tsukihi,110,110,100.0,JRD_BAC,JRDB,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
jrd_bac,jrd_bac,keibajo_code,110,110,100.0,JRD_BAC,JRDB,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
jrd_bac,jrd_bac,kyori,110,110,100.0,JRD_BAC,JRDB,距離,コースの競走距離,character varying,4,単位:m 例:1600,
jrd_bac,jrd_bac,kyoso_joken_code,110,110,100.0,JRD_BAC,JRDB,競走条件コード,レースの適用条件コード,character varying,2,702等の条件コード,
jrd_bac,jrd_bac,kyoso_kigo_code,110,110,100.0,JRD_BAC,JRDB,競走記号コード,競走の適用条件の組み合わせ,character varying,3,複合コード,
jrd_bac,jrd_bac,kyoso_shubetsu_code,110,110,100.0,JRD_BAC,JRDB,競走種別コード,年齢・種別による競走区分,character varying,2,11:2歳 12:3歳 13:3歳以上 14:4歳以上 16:4歳以上牝 20:障害,
jrd_bac,jrd_bac,kyosomei,110,110,100.0,JRD_BAC,JRDB,競走名,レースの正式名称,character varying,50,最大60バイト,
jrd_bac,jrd_bac,kyosomei_ryakusho_4,110,110,100.0,JRD_BAC,JRDB,競走名略称4文字,4文字以内の略称,character varying,8,,
jrd_bac,jrd_bac,kyosomei_ryakusho_9,110,110,100.0,JRD_BAC,JRDB,競走名略称9文字,9文字以内の略称,character varying,18,例:天皇賞(春),
jrd_bac,jrd_bac,race_bango,110,110,100.0,JRD_BAC,JRDB,レース番号,その日のレース番号,character varying,2,01〜12,
jrd_bac,jrd_bac,race_shikonen,110,110,100.0,JRD_BAC,JRDB,レース施行年,競走が施行された年コード,character varying,6,YYYY形式,
jrd_bac,jrd_bac,toroku_tosu,110,110,100.0,JRD_BAC,JRDB,登録頭数,エントリーした頭数,character varying,2,,
jrd_bac,jrd_bac,track_code,110,110,100.0,JRD_BAC,JRDB,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,3,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
jrd_bac,jrd_bac,win5_flag,110,110,100.0,JRD_BAC,JRDB,WIN5フラグ,WIN5対象レースの有無,character varying,1,0:なし 1:WIN5対象,
jrd_bac,jrd_bac,yobi_1,110,110,100.0,JRD_BAC,JRDB,予備1,予備フィールド1（将来の拡張用）,character varying,5,,
jrd_cyb,jrd_cyb,kaisai_kai,3081,3081,100.0,JRD_CYB,JRDB,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
jrd_cyb,jrd_cyb,kaisai_nichime,3081,3081,100.0,JRD_CYB,JRDB,開催日目,開催何日目か,character varying,1,第N日,
jrd_cyb,jrd_cyb,keibajo_code,3081,3081,100.0,JRD_CYB,JRDB,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
jrd_cyb,jrd_cyb,race_bango,3081,3081,100.0,JRD_CYB,JRDB,レース番号,その日のレース番号,character varying,2,01〜12,
jrd_cyb,jrd_cyb,race_shikonen,3081,3081,100.0,JRD_CYB,JRDB,レース施行年,競走が施行された年コード,character varying,10,YYYY形式,
jrd_cyb,jrd_cyb,umaban,3081,3081,100.0,JRD_CYB,JRDB,馬番,出走馬の番号,character varying,2,01〜18,
jrd_joa,jrd_joa,bamei,4828,4828,100.0,JRD_JOA,JRDB,馬名,競走馬の正式名称,character varying,36,最大36バイト(全角),
jrd_joa,jrd_joa,kaisai_kai,4828,4828,100.0,JRD_JOA,JRDB,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
jrd_joa,jrd_joa,kaisai_nichime,4828,4828,100.0,JRD_JOA,JRDB,開催日目,開催何日目か,character varying,1,第N日,
jrd_joa,jrd_joa,keibajo_code,4828,4828,100.0,JRD_JOA,JRDB,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
jrd_joa,jrd_joa,ketto_toroku_bango,4828,4828,100.0,JRD_JOA,JRDB,血統登録番号,馬の一意識別番号（JRA公式）,character varying,8,10桁数字,
