table_name,column_name,total_rows,filled_count,fillrate,fillrate_float,table_name_upper,japanese_name,description,code_values,priority
jvd_dm,mining_yoso_07,34548,34548,100.0,100.0,JVD_DM,mining_yoso_07,mining_yoso_07フィールド,,A
jvd_dm,mining_yoso_08,34548,34548,100.0,100.0,JVD_DM,mining_yoso_08,mining_yoso_08フィールド,,A
jvd_dm,mining_yoso_09,34548,34548,100.0,100.0,JVD_DM,mining_yoso_09,mining_yoso_09フィールド,,A
jvd_dm,mining_yoso_10,34548,34548,100.0,100.0,JVD_DM,mining_yoso_10,mining_yoso_10フィールド,,A
jvd_dm,mining_yoso_11,34548,34548,100.0,100.0,JVD_DM,mining_yoso_11,mining_yoso_11フィールド,,A
jvd_dm,mining_yoso_12,34548,34548,100.0,100.0,JVD_DM,mining_yoso_12,mining_yoso_12フィールド,,A
jvd_dm,mining_yoso_13,34548,34548,100.0,100.0,JVD_DM,mining_yoso_13,mining_yoso_13フィールド,,A
jvd_dm,mining_yoso_14,34548,34548,100.0,100.0,JVD_DM,mining_yoso_14,mining_yoso_14フィールド,,A
jvd_dm,mining_yoso_15,34548,34548,100.0,100.0,JVD_DM,mining_yoso_15,mining_yoso_15フィールド,,A
jvd_dm,mining_yoso_16,34548,34548,100.0,100.0,JVD_DM,mining_yoso_16,mining_yoso_16フィールド,,A
jvd_dm,mining_yoso_17,34548,34548,100.0,100.0,JVD_DM,mining_yoso_17,mining_yoso_17フィールド,,A
jvd_dm,mining_yoso_18,34548,34548,100.0,100.0,JVD_DM,mining_yoso_18,mining_yoso_18フィールド,,A
jvd_dm,record_id,34548,34548,100.0,100.0,JVD_DM,レコードID,データ種別識別子（2文字）,SE:出走馬/RA:レース/CK:確定着順/HR:払戻/UM:馬マスタ 等,A
jvd_h1,henkan_hyosu_gokei_tansho,34516,34516,100.0,100.0,JVD_H1,henkan_hyosu_gokei_tansho,henkan_hyosu_gokei_tanshoフィールド,,A
jvd_h1,henkan_hyosu_gokei_umaren,34516,34516,100.0,100.0,JVD_H1,henkan_hyosu_gokei_umaren,henkan_hyosu_gokei_umarenフィールド,,A
jvd_h1,henkan_hyosu_gokei_umatan,34516,34516,100.0,100.0,JVD_H1,henkan_hyosu_gokei_umatan,henkan_hyosu_gokei_umatanフィールド,,A
jvd_h1,henkan_hyosu_gokei_wakuren,34516,34516,100.0,100.0,JVD_H1,henkan_hyosu_gokei_wakuren,henkan_hyosu_gokei_wakurenフィールド,,A
jvd_h1,henkan_hyosu_gokei_wide,34516,34516,100.0,100.0,JVD_H1,henkan_hyosu_gokei_wide,henkan_hyosu_gokei_wideフィールド,,A
jvd_h1,henkan_umaban_joho,34516,34516,100.0,100.0,JVD_H1,henkan_umaban_joho,henkan_umaban_johoフィールド,,A
jvd_h1,henkan_wakuban_joho,34516,34516,100.0,100.0,JVD_H1,henkan_wakuban_joho,henkan_wakuban_johoフィールド,,A
jvd_h1,hyosu_fukusho,34516,34516,100.0,100.0,JVD_H1,hyosu_fukusho,hyosu_fukushoフィールド,,A
jvd_h1,hyosu_gokei_fukusho,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_fukusho,hyosu_gokei_fukushoフィールド,,A
jvd_h1,hyosu_gokei_sanrenpuku,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_sanrenpuku,hyosu_gokei_sanrenpukuフィールド,,A
jvd_h1,hyosu_gokei_tansho,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_tansho,hyosu_gokei_tanshoフィールド,,A
jvd_h1,hyosu_gokei_umaren,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_umaren,hyosu_gokei_umarenフィールド,,A
jvd_h1,hyosu_gokei_umatan,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_umatan,hyosu_gokei_umatanフィールド,,A
jvd_h1,hyosu_gokei_wakuren,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_wakuren,hyosu_gokei_wakurenフィールド,,A
jvd_h1,hyosu_gokei_wide,34516,34516,100.0,100.0,JVD_H1,hyosu_gokei_wide,hyosu_gokei_wideフィールド,,A
jvd_h1,hyosu_sanrenpuku,34516,34516,100.0,100.0,JVD_H1,hyosu_sanrenpuku,hyosu_sanrenpukuフィールド,,A
jvd_h1,hyosu_tansho,34516,34516,100.0,100.0,JVD_H1,hyosu_tansho,hyosu_tanshoフィールド,,A
jvd_h1,hyosu_umaren,34516,34516,100.0,100.0,JVD_H1,hyosu_umaren,hyosu_umarenフィールド,,A
jvd_h1,hyosu_umatan,34516,34516,100.0,100.0,JVD_H1,hyosu_umatan,hyosu_umatanフィールド,,A
jvd_h1,hyosu_wakuren,34516,34516,100.0,100.0,JVD_H1,hyosu_wakuren,hyosu_wakurenフィールド,,A
jvd_h1,hyosu_wide,34516,34516,100.0,100.0,JVD_H1,hyosu_wide,hyosu_wideフィールド,,A
