table_name,column_name,japanese_name,description,total_rows,filled_count,fillrate,code_values,remarks,is_existing,priority,selection_reason
jvd_se,aiteuma_joho_1,aiteuma_joho_1,aiteuma_joho_1フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,aiteuma_joho_2,aiteuma_joho_2,aiteuma_joho_2フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,aiteuma_joho_3,aiteuma_joho_3,aiteuma_joho_3フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_ra,babajotai_code_dirt,babajotai_code_dirt,babajotai_code_dirtフィールド,59851,59851,100.0,,,True,S,レース基本情報
jvd_ra,babajotai_code_shiba,babajotai_code_shiba,babajotai_code_shibaフィールド,59851,59851,100.0,,,True,S,レース基本情報
jrd_bac,baken_hatsubai_flag,馬券発売フラグ,各券種の発売有無を示すフラグ列,110,110,100.0,各桁が券種に対応,,False,B,JRDB レース基本
jvd_se,bamei,馬名,競走馬の正式名称,739040,739040,100.0,最大36バイト(全角),,False,S,レース成績（最重要）
jvd_um,bamei_eur,bamei_eur,bamei_eurフィールド,211788,211788,100.0,,,False,C,馬マスタ
jvd_um,bamei_hankaku_kana,bamei_hankaku_kana,bamei_hankaku_kanaフィールド,211788,211788,100.0,,,False,C,馬マスタ
jvd_se,banushi_code,馬主コード,馬主の固有コード,739040,739040,100.0,5桁英数字,,False,S,レース成績（最重要）
jvd_se,banushimei,馬主名,馬主の氏名または法人名,739040,739040,100.0,最大64バイト,,False,S,レース成績（最重要）
jvd_ck,banushimei_hojinkaku,banushimei_hojinkaku,banushimei_hojinkakuフィールド,483981,483981,100.0,,,False,A,レース詳細情報
jvd_se,barei,馬齢,競走時の馬の年齢,739040,739040,100.0,単位:歳,,True,S,レース成績（最重要）
jvd_se,bataiju,馬体重,計量時の馬体重,739040,739040,100.0,単位:kg,,False,S,レース成績（最重要）
jvd_se,blinker_shiyo_kubun,ブリンカー使用区分,ブリンカー装着の有無,739040,739040,100.0,0:なし 1:あり,,True,S,レース成績（最重要）
jvd_se,chakusa_code_1,chakusa_code_1,chakusa_code_1フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,chakusa_code_2,chakusa_code_2,chakusa_code_2フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,chakusa_code_3,chakusa_code_3,chakusa_code_3フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,chokyoshi_code,調教師コード,調教師の固有コード（JRA公式）,739040,739040,100.0,5桁数字,,False,S,レース成績（最重要）
jvd_ck,chokyoshimei,chokyoshimei,chokyoshimeiフィールド,483981,483981,100.0,,,False,A,レース詳細情報
jvd_se,chokyoshimei_ryakusho,chokyoshimei_ryakusho,chokyoshimei_ryakushoフィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_ck,chuo_gokei,chuo_gokei,chuo_gokeiフィールド,483981,483981,100.0,,,False,A,レース詳細情報
jvd_se,corner_1,corner_1,corner_1フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
jvd_se,corner_2,corner_2,corner_2フィールド,739040,739040,100.0,,,False,S,レース成績（最重要）
