table_name,classification,column_name,japanese_name,description,data_type,max_length,code_values,remarks
JRD_SED,JRDB,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_AV,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_CC,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_CK,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_DM,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_H1,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_H6,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_HR,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_JC,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_JG,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O1,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O2,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O3,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O4,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O5,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_O6,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_RA,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_RC,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_SE,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_TC,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_TK,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_TM,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_WE,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_WF,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_WH,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JVD_YS,JRA-VAN,kaisai_nen,開催年,競走が行われた年（西暦）,character varying,4,例:2024,
JRD_BAC,JRDB,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JRD_SED,JRDB,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_AV,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_CC,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_CK,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_DM,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_H1,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_H6,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_HR,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_JC,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_JG,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O1,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O2,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O3,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O4,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O5,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_O6,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_RA,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_RC,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_SE,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_TC,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_TK,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_TM,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_WE,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_WF,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JVD_WH,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
